,128,Predicted ID
0,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000067_3.jpg,1
1,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000068_2.jpg,1
2,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000069_1.jpg,1
3,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000070_1.jpg,1
4,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000071_2.jpg,1
5,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000072_2.jpg,1
6,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000073_0.jpg,1
7,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000074_0.jpg,1
8,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000078_2.jpg,1
9,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000079_1.jpg,1
10,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000080_2.jpg,1
11,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000081_2.jpg,1
12,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000082_2.jpg,1
13,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000104_3.jpg,1
14,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000105_4.jpg,1
15,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000106_4.jpg,1
16,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000107_6.jpg,0
17,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000108_5.jpg,1
18,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000109_3.jpg,1
19,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000110_4.jpg,0
20,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000111_4.jpg,0
21,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000112_4.jpg,0
22,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000114_4.jpg,0
23,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000115_5.jpg,0
24,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000116_3.jpg,0
25,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000117_4.jpg,0
26,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000118_3.jpg,0
27,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000119_3.jpg,0
28,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000120_3.jpg,1
29,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000121_3.jpg,1
30,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000124_3.jpg,0
31,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000125_2.jpg,1
32,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000126_3.jpg,1
33,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000127_3.jpg,1
34,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000128_4.jpg,1
35,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000129_3.jpg,1
36,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000130_4.jpg,1
37,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000131_5.jpg,1
38,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000133_4.jpg,1
39,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000134_4.jpg,1
40,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000135_3.jpg,1
41,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000136_3.jpg,1
42,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000137_4.jpg,1
43,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000138_4.jpg,0
44,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000139_3.jpg,1
45,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000140_3.jpg,1
46,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000141_3.jpg,1
47,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000142_3.jpg,1
48,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000144_3.jpg,1
49,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000145_4.jpg,1
50,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000146_3.jpg,1
51,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000147_3.jpg,1
52,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000148_3.jpg,1
53,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000149_4.jpg,1
54,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000150_4.jpg,1
55,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000151_3.jpg,1
56,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000152_4.jpg,1
57,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000153_3.jpg,1
58,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000154_3.jpg,1
59,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000155_3.jpg,1
60,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000157_5.jpg,1
61,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000158_3.jpg,1
62,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000159_3.jpg,1
63,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000160_3.jpg,1
64,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000169_2.jpg,0
65,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000170_4.jpg,0
66,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000181_4.jpg,1
67,45a55f08-24da-4a3f-8c6b-72b1fc386ebb_00000182_6.jpg,1
